#' For a given species this is the abbreviated output after
#' the aggregate_gear function is appled
#'
NEGEAR,Landings,Cumulative,Proportion
050,1141407667,1141407667,0.828511893478365
010,95196644,1236604311,0.89761214052728
100,93069581,1329673892,0.96516841950534
020,30155056,1359828948,0.987057025361801
056,9405172,1369234120,0.993883943637802
132,1773276,1371007396,0.99517110886272
057,1630702,1372638098,0.996354784109332
160,1462198,1374100296,0.99741614760692
360,867835,1374968131,0.998046081713606
170,764002,1375732133,0.9986006467143
040,524546,1376256679,0.998981398142769
055,519813,1376776492,0.999358714035536
381,121512,1376898004,0.999446915771087
058,112909,1377010913,0.99952887285976
054,86256,1377097169,0.99959148337478
200,82503,1377179672,0.999651369705259
140,63157,1377242829,0.999697213383349
